"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","750","Проверка ошибки авторизации несуществующего пользователя","tests","2026-05-05","passed","2026-05-05","TestLoginCourier","test_login_courier","",""
"","896","Проверка создания заказа с разными вариантами цвета","tests","2026-05-05","passed","2026-05-05","TestCreateOrder","test_create_order","",""
"","802","Проверка создания заказа с разными вариантами цвета","tests","2026-05-05","passed","2026-05-05","TestCreateOrder","test_create_order","",""
"","902","Проверка успешной авторизации курьера","tests","2026-05-05","passed","2026-05-05","TestLoginCourier","test_login_courier","",""
"","760","Проверка создания заказа с разными вариантами цвета","tests","2026-05-05","passed","2026-05-05","TestCreateOrder","test_create_order","",""
"","820","Проверка ошибки при создании курьера с уже существующим логином","tests","2026-05-05","passed","2026-05-05","TestCreateCourier","test_create_courier","",""
"","726","Проверка ошибки авторизации с неверным логином","tests","2026-05-05","passed","2026-05-05","TestLoginCourier","test_login_courier","",""
"","744","Проверка ошибки авторизации без пароля","tests","2026-05-05","passed","2026-05-05","TestLoginCourier","test_login_courier","",""
"","709","Проверка ошибки при создании курьера без пароля","tests","2026-05-05","passed","2026-05-05","TestCreateCourier","test_create_courier","",""
"","748","Проверка ошибки авторизации с неверным паролем","tests","2026-05-05","passed","2026-05-05","TestLoginCourier","test_login_courier","",""
"","14430","Проверка получения списка заказов","tests","2026-05-05","passed","2026-05-05","TestGetOrders","test_get_order","",""
"","727","Проверка создания заказа с разными вариантами цвета","tests","2026-05-05","passed","2026-05-05","TestCreateOrder","test_create_order","",""
"","755","Проверка, что нельзя создать двух одинаковых курьеров","tests","2026-05-05","passed","2026-05-05","TestCreateCourier","test_create_courier","",""
"","737","Проверка ошибки при создании курьера без логина","tests","2026-05-05","passed","2026-05-05","TestCreateCourier","test_create_courier","",""
"","2556","Проверка успешного создания курьера","tests","2026-05-05","passed","2026-05-05","TestCreateCourier","test_create_courier","",""
"","752","Проверка ошибки авторизации без логина","tests","2026-05-05","passed","2026-05-05","TestLoginCourier","test_login_courier","",""
